"(Parent) ASIN","(Child) ASIN","Title","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Unit Session Percentage","Ordered Product Sales","Total Order Items"
"B08WJC5Y15","B08WJC5MN8","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask and earloop for Men and Women (White-Pack Of 05)","2","0.13%","3","0.16%","100%","3","150.00%","Rs. 2,010.00","1"
"B08WL9QJPX","B08WL8V78N","NANOCLEAN AC Filter with Nanofiber Technology for Removing Dust | Compatible with Window and Split AC, 2 units in a Pack (Pack Of 03)","11","0.73%","17","0.93%","88%","1","9.09%","Rs. 1,197.00","1"
"B08WLRMN3S","B08WLRGQBQ","NANOCLEAN Pollution Net for Mesh Window in 3x3 ft with Nanofiber Layer Protection from PM 2.5, Dust, UV Rays, Pollens, Rainwater","26","1.73%","33","1.81%","94%","1","3.85%","Rs. 1,699.00","1"
"B08WJ2Y37T","B08WJ2Y37T","NANOCLEAN Nasofilter with Nanofiber Technology up to 12 Hours Protection from Air Pollution, Dust","42","2.79%","61","3.35%","93%","0","0.00%","Rs. 0.00","0"
"B08WJ7MMRD","B08WJ7MMRD","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with earloop for Men and Women (White)","9","0.60%","12","0.66%","33%","0","0.00%","Rs. 0.00","0"
"B08WJ7SK4L","B08WJ7SK4L","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (White)","17","1.13%","25","1.37%","60%","0","0.00%","Rs. 0.00","0"
"B08WJ7SK4L","B08WJ7SZ94","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (White-Pack Of 01)","5","0.33%","5","0.27%","20%","0","0.00%","Rs. 0.00","0"
"B08WJC5Y15","B08WJ7V9LV","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask and earloop for Men and Women (White-Pack Of 03)","2","0.13%","4","0.22%","100%","0","0.00%","Rs. 0.00","0"
"B08WJC5Y15","B08WJ81VNZ","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask and earloop for Men and Women (White-Pack Of 06)","3","0.20%","3","0.16%","67%","0","0.00%","Rs. 0.00","0"
"B08WJ7MMRD","B08WJ8F2WF","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask with earloop for Men and Women (White-Pack Of 06)","4","0.27%","5","0.27%","60%","0","0.00%","Rs. 0.00","0"
"B08WJ8NJ79","B08WJ8NJ79","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (White)","26","1.73%","39","2.14%","92%","0","0.00%","Rs. 0.00","0"
"B08WJ7SK4L","B08WJ9K1Z7","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (White-Pack Of 03)","3","0.20%","4","0.22%","0%","0","0.00%","Rs. 0.00","0"
"B08WJC7FVH","B08WJ9MDYF","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (Black-Pack Of 05)","4","0.27%","4","0.22%","75%","0","0.00%","Rs. 0.00","0"
"B08WJC5Y15","B08WJ9WL8X","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask and earloop for Men and Women (White-Pack Of 04)","1","0.07%","1","0.05%","0%","0","0.00%","Rs. 0.00","0"
"B08WJ7SK4L","B08WJB2KY8","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (White-Pack Of 05)","1","0.07%","1","0.05%","100%","0","0.00%","Rs. 0.00","0"
"B08WJB7XCN","B08WJB7XCN","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with earloop for Men and Women (Black)","326","21.69%","363","19.92%","88%","0","0.00%","Rs. 0.00","0"
"B08WJC5Y15","B08WJC5Y15","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with earloop for Men and Women (White)","14","0.93%","16","0.88%","81%","0","0.00%","Rs. 0.00","0"
"B08WJC7FVH","B08WJC7FVH","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (Black)","59","3.93%","70","3.84%","80%","0","0.00%","Rs. 0.00","0"
"B08WJ7SK4L","B08WJCBLX4","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (White-Pack Of 02)","3","0.20%","3","0.16%","0%","0","0.00%","Rs. 0.00","0"
"B08WJ7MMRD","B08WJCCJYV","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask with earloop for Men and Women (White-Pack Of 01)","2","0.13%","2","0.11%","0%","0","0.00%","Rs. 0.00","0"
"B08WL9QJPX","B08WL7ZHCV","NANOCLEAN AC Filter with Nanofiber Technology for Removing Dust | Compatible with Window and Split AC, 2 units in a Pack (Pack Of 02)","32","2.13%","49","2.69%","100%","0","0.00%","Rs. 0.00","0"
"B08WL9QJPX","B08WL8XZR6","NANOCLEAN AC Filter with Nanofiber Technology for Removing Dust | Compatible with Window and Split AC, 2 units in a Pack (Pack Of 06)","5","0.33%","8","0.44%","100%","0","0.00%","Rs. 0.00","0"
"B08WL9QJPX","B08WL9QJPX","NANOCLEAN AC Filter with Nanofiber Technology for Removing Dust | Compatible with Window and Split AC, 2 units in a Pack","35","2.33%","37","2.03%","89%","0","0.00%","Rs. 0.00","0"
"B08WL9QJPX","B08WLB59YB","NANOCLEAN AC Filter with Nanofiber Technology for Removing Dust | Compatible with Window and Split AC, 2 units in a Pack (Pack Of 05)","6","0.40%","9","0.49%","100%","0","0.00%","Rs. 0.00","0"
"B08WL9QJPX","B08WLBBDCS","NANOCLEAN AC Filter with Nanofiber Technology for Removing Dust | Compatible with Window and Split AC, 2 units in a Pack (Pack Of 04)","7","0.47%","10","0.55%","90%","0","0.00%","Rs. 0.00","0"
"B08WLRMN3S","B08WLRFDXR","NANOCLEAN Pollution Net for Mesh Window in 4.5x7 ft with Nanofiber Layer Protection from PM 2.5, Dust, UV Rays, Pollens, Rainwater","5","0.33%","5","0.27%","80%","0","0.00%","Rs. 0.00","0"
"B08WLRMN3S","B08WLSH5FP","NANOCLEAN Pollution Net for Mesh Window in 4.5x5 ft with Nanofiber Layer Protection from PM 2.5, Dust, UV Rays, Pollens, Rainwater","3","0.20%","3","0.16%","100%","0","0.00%","Rs. 0.00","0"
"B08XNTFTGN","B08XNTFTGN","","7","0.47%","12","0.66%","0%","0","0.00%","Rs. 0.00","0"
